# species<TAB>Wikimedia Commons file<TAB>thumbnail URL<TAB>pixel size — each photo checked by eye; setup re-downloads a copy that doesn't decode at that size (Wikimedia re-encodes thumbnails, so bytes are not pinned)
lion	File:002 The lion king Snyggve in the Serengeti National Park Photo by Giles Laurent.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/7/77/002_The_lion_king_Snyggve_in_the_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg/1280px-002_The_lion_king_Snyggve_in_the_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1280x854
lion	File:African Lion Panthera leo Male Pittsburgh 2800px.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ae/African_Lion_Panthera_leo_Male_Pittsburgh_2800px.jpg/1280px-African_Lion_Panthera_leo_Male_Pittsburgh_2800px.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1280x914
lion	File:Asiatic lion 03.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b8/Asiatic_lion_03.jpg/1280px-Asiatic_lion_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1280x824
tiger	File:080 Bengal tiger in Ranthambore National Park Photo by Giles Laurent.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8f/080_Bengal_tiger_in_Ranthambore_National_Park_Photo_by_Giles_Laurent.jpg/1280px-080_Bengal_tiger_in_Ranthambore_National_Park_Photo_by_Giles_Laurent.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1280x853
tiger	File:Amurtiger-Zoo-Muenster.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/3/30/Amurtiger-Zoo-Muenster.jpg/1280px-Amurtiger-Zoo-Muenster.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1280x1933
tiger	File:Bengal tiger (Panthera tigris tigris) female 2.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9a/Bengal_tiger_%28Panthera_tigris_tigris%29_female_2.jpg/1280px-Bengal_tiger_%28Panthera_tigris_tigris%29_female_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1280x1280
leopard	File:A watchful leopard.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bc/A_watchful_leopard.jpg/1280px-A_watchful_leopard.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1280x854
leopard	File:African Leopard Near Okevi Waterhole Etosha Namibia.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d3/African_Leopard_Near_Okevi_Waterhole_Etosha_Namibia.jpg/1280px-African_Leopard_Near_Okevi_Waterhole_Etosha_Namibia.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1280x1653
leopard	File:Female Indian Leopard Head Nagarhole Karnataka Apr22 D72 24071.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/4/43/Female_Indian_Leopard_Head_Nagarhole_Karnataka_Apr22_D72_24071.jpg/1280px-Female_Indian_Leopard_Head_Nagarhole_Karnataka_Apr22_D72_24071.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1280x1024
jaguar	File:009 Female jaguar in Encontro das Águas State Park Photo by Giles Laurent.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/9/93/009_Female_jaguar_in_Encontro_das_%C3%81guas_State_Park_Photo_by_Giles_Laurent.jpg/1280px-009_Female_jaguar_in_Encontro_das_%C3%81guas_State_Park_Photo_by_Giles_Laurent.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1280x853
jaguar	File:015 Jaguar walking in Encontro das Águas State Park Photo by Giles Laurent.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8b/015_Jaguar_walking_in_Encontro_das_%C3%81guas_State_Park_Photo_by_Giles_Laurent.jpg/1280px-015_Jaguar_walking_in_Encontro_das_%C3%81guas_State_Park_Photo_by_Giles_Laurent.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1280x853
jaguar	File:099 Jaguar in Encontro das Águas State Park Photo by Giles Laurent.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bd/099_Jaguar_in_Encontro_das_%C3%81guas_State_Park_Photo_by_Giles_Laurent.jpg/1280px-099_Jaguar_in_Encontro_das_%C3%81guas_State_Park_Photo_by_Giles_Laurent.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1280x853
snow leopard	File:Panthera uncia - Zoo Karlsruhe 01.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/7/74/Panthera_uncia_-_Zoo_Karlsruhe_01.jpg/1280px-Panthera_uncia_-_Zoo_Karlsruhe_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1280x1721
snow leopard	File:Panthera uncia - Zoo Karlsruhe 03.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/e/eb/Panthera_uncia_-_Zoo_Karlsruhe_03.jpg/1280px-Panthera_uncia_-_Zoo_Karlsruhe_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1280x1023
snow leopard	File:Uncia uncia Ähtäri.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/8/81/Uncia_uncia_%C3%84ht%C3%A4ri.jpg/1280px-Uncia_uncia_%C3%84ht%C3%A4ri.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1280x853
